Size,Fitness,PercolationIndex,MaxEditDistance,AvgEditDistance
3,68.53,31,1,1.0
2,74.76,44,1,1.0
13,60.12,72,3,1.8974358974358974
3,77.84,41,1,1.0
8,60.16,53,3,1.6785714285714286
2,86.38,31,1,1.0
2,86.19,39,1,1.0
2,78.83,34,1,1.0
3,73.32,37,1,1.0
2,75.31,34,1,1.0
7,79.86,58,3,1.7142857142857142
3,84.15,43,1,1.0
2,84.03,38,1,1.0
2,51.16,33,1,1.0
2,78.69,31,1,1.0
7,86.32,78,2,1.619047619047619
2,85.56,34,1,1.0
2,82.97,44,1,1.0
7,51.32,60,3,1.6666666666666667
8,80.21,67,3,1.8214285714285714
3,83.51,41,1,1.0
2,60.52,33,1,1.0
7,83.97,62,2,1.5238095238095237
3,79.64,37,1,1.0
4,79.86,46,2,1.5
6,86.22,53,3,1.6666666666666667
2,54.72,32,1,1.0
8,61.06,75,2,1.6071428571428572
3,60.12,38,1,1.0
2,82.23,35,1,1.0
2,61.31,30,1,1.0
2,83.92,42,1,1.0
8,78.8,68,3,1.6428571428571428
2,83.51,30,1,1.0
7,84.34,50,3,1.7619047619047619
11,79.38,74,3,2.0
3,61.8,37,1,1.0
2,75.13,43,1,1.0
3,60.71,36,1,1.0
5,60.52,45,2,1.4
3,87.16,55,2,1.3333333333333333
2,86.45,34,1,1.0
2,83.49,33,1,1.0
2,80.11,36,1,1.0
3,61.51,40,1,1.0
2,55.23,35,1,1.0
5,78.8,52,2,1.5
3,79.73,39,1,1.0
8,67.47,46,3,1.8571428571428572
5,84.85,52,2,1.6
9,60.82,56,3,1.6666666666666667
2,85.96,32,1,1.0
3,78.78,41,1,1.0
2,84.48,32,1,1.0
7,80.0,57,3,1.7619047619047619
7,85.17,60,3,1.8571428571428572
2,69.45,29,1,1.0
7,82.13,60,3,1.7142857142857142
2,79.05,31,1,1.0
8,76.52,57,2,1.5
4,79.12,40,2,1.3333333333333333
2,83.08,33,1,1.0
2,75.46,28,1,1.0
3,80.11,40,1,1.0
2,88.4,42,1,1.0
4,84.28,71,2,1.5
13,79.58,70,3,1.8717948717948718
2,83.03,32,1,1.0
2,85.18,33,1,1.0
2,76.89,33,1,1.0
2,60.16,32,1,1.0
9,61.71,71,3,1.8055555555555556
2,84.16,29,1,1.0
6,80.21,61,2,1.6
2,85.11,37,1,1.0
3,80.96,39,1,1.0
2,79.88,34,1,1.0
2,80.03,32,1,1.0
3,78.81,40,1,1.0
6,86.22,50,3,1.6666666666666667
3,78.37,32,1,1.0
2,86.25,43,1,1.0
8,78.8,65,3,1.7142857142857142
7,78.69,53,3,1.8095238095238095
3,69.33,37,2,1.3333333333333333
7,77.66,66,3,1.9523809523809523
3,50.66,42,1,1.0
3,75.29,39,1,1.0
7,84.16,81,3,1.7142857142857142
6,78.31,60,3,1.7333333333333334
6,75.54,57,3,1.7333333333333334
2,73.27,32,1,1.0
2,87.75,38,1,1.0
7,86.22,67,2,1.4761904761904763
2,83.8,37,1,1.0
3,79.4,42,1,1.0
3,61.24,40,1,1.0
2,79.23,29,1,1.0
2,79.09,31,1,1.0
6,67.85,58,2,1.5333333333333334
3,79.4,33,1,1.0
2,78.64,36,1,1.0
6,55.18,50,2,1.4666666666666666
2,85.19,32,1,1.0
10,80.75,76,3,1.7555555555555555
2,79.35,37,1,1.0
3,75.73,42,1,1.0
3,60.82,37,2,1.3333333333333333
2,83.08,32,1,1.0
3,78.55,42,1,1.0
3,79.91,42,1,1.0
2,79.24,32,1,1.0
2,83.79,34,1,1.0
4,80.21,48,2,1.5
2,61.06,39,1,1.0
2,80.77,32,1,1.0
2,50.79,32,1,1.0
2,85.16,33,1,1.0
3,84.52,36,1,1.0
3,85.36,43,1,1.0
2,69.6,37,1,1.0
2,85.36,34,1,1.0
3,78.32,43,1,1.0
7,85.24,65,3,1.7142857142857142
2,76.49,29,1,1.0
2,81.55,33,1,1.0
2,84.49,43,1,1.0
2,83.45,30,1,1.0
2,72.16,43,1,1.0
2,61.51,31,1,1.0
2,79.06,31,1,1.0
8,83.97,68,3,1.8214285714285714
2,64.36,32,1,1.0
3,85.19,44,1,1.0
3,82.89,40,1,1.0
2,83.08,35,1,1.0
2,83.87,33,1,1.0
2,80.85,31,1,1.0
2,82.92,43,1,1.0
2,82.52,35,1,1.0
3,86.54,37,1,1.0
2,83.44,27,1,1.0
2,80.71,36,1,1.0
3,87.08,38,1,1.0
3,85.88,49,2,1.3333333333333333
9,54.75,85,2,1.6388888888888888
3,78.7,44,1,1.0
2,83.25,31,1,1.0
2,76.52,33,1,1.0
3,68.12,42,1,1.0
2,79.38,32,1,1.0
3,80.49,40,1,1.0
6,79.05,50,2,1.4666666666666666
3,62.88,40,1,1.0
7,80.71,72,3,1.7142857142857142
2,85.81,44,1,1.0
3,80.35,40,1,1.0
2,84.23,31,1,1.0
3,79.03,37,1,1.0
3,78.69,42,1,1.0
2,71.49,30,1,1.0
2,84.63,30,1,1.0
2,60.12,30,1,1.0
3,82.69,38,1,1.0
2,85.88,29,1,1.0
2,84.56,30,1,1.0
2,83.21,31,1,1.0
5,78.8,51,2,1.5
2,84.52,31,1,1.0
7,83.97,68,3,1.6666666666666667
3,78.36,42,1,1.0
3,78.66,39,1,1.0
3,83.38,40,1,1.0
2,81.92,31,1,1.0
2,84.05,43,1,1.0
3,81.75,45,1,1.0
2,85.96,31,1,1.0
2,83.35,34,1,1.0
2,83.68,34,1,1.0
3,84.98,36,1,1.0
3,85.45,39,1,1.0
2,84.84,44,1,1.0
2,79.73,33,1,1.0
2,60.79,29,1,1.0
3,78.69,39,1,1.0
4,83.11,36,2,1.5
2,79.46,33,1,1.0
2,84.73,32,1,1.0
2,78.71,27,1,1.0
4,83.0,57,2,1.3333333333333333
2,83.49,33,1,1.0
2,80.22,32,1,1.0
3,54.34,36,1,1.0
3,78.51,39,1,1.0
2,84.99,34,1,1.0
2,68.35,43,1,1.0
3,60.12,41,1,1.0
6,75.54,54,3,1.6
6,84.47,56,2,1.4666666666666666
3,78.66,35,1,1.0
3,52.73,36,1,1.0
2,80.12,31,1,1.0
3,79.23,43,1,1.0
2,84.15,28,1,1.0
3,81.45,45,1,1.0
2,78.87,26,1,1.0
5,78.28,64,2,1.4
3,88.46,35,1,1.0
2,76.04,29,1,1.0
3,86.83,38,1,1.0
3,80.17,39,1,1.0
2,85.19,34,1,1.0
2,86.17,41,1,1.0
3,60.37,40,1,1.0
3,79.47,38,1,1.0
2,82.39,34,1,1.0
2,80.96,33,1,1.0
2,78.69,29,1,1.0
2,57.49,31,1,1.0
3,79.23,42,1,1.0
2,71.76,31,1,1.0
2,79.23,39,1,1.0
3,71.49,38,1,1.0
3,60.52,32,1,1.0
3,60.16,37,1,1.0
2,60.16,32,1,1.0
3,85.3,42,1,1.0
9,59.81,60,3,1.8611111111111112
8,59.81,59,3,1.9285714285714286
8,72.25,62,3,1.8571428571428572
2,85.56,34,1,1.0
3,83.94,42,1,1.0
3,77.81,38,1,1.0
4,78.82,54,2,1.3333333333333333
2,78.87,33,1,1.0
2,60.37,32,1,1.0
3,84.19,40,1,1.0
3,85.18,42,1,1.0
3,51.28,51,2,1.3333333333333333
3,81.09,41,1,1.0
6,85.17,52,2,1.5333333333333334
3,61.84,36,1,1.0
2,78.8,35,1,1.0
3,68.0,36,1,1.0
6,61.71,57,3,1.6666666666666667
2,63.52,32,1,1.0
2,80.21,35,1,1.0
6,83.35,58,2,1.4666666666666666
9,80.75,70,3,1.8333333333333333
2,60.78,34,1,1.0
2,54.72,32,1,1.0
2,79.12,30,1,1.0
2,54.75,26,1,1.0
2,87.11,35,1,1.0
3,78.1,37,1,1.0
3,85.01,39,1,1.0
2,83.69,40,1,1.0
8,78.72,68,3,1.6785714285714286
2,84.73,34,1,1.0
2,86.29,43,1,1.0
2,81.09,31,1,1.0
3,77.13,42,1,1.0
2,78.68,28,1,1.0
2,78.8,36,1,1.0
3,83.43,41,1,1.0
2,78.8,41,1,1.0
2,83.07,32,1,1.0
2,78.42,40,1,1.0
2,84.52,29,1,1.0
2,79.85,28,1,1.0
3,53.87,40,1,1.0
2,84.7,40,1,1.0
2,80.27,32,1,1.0
2,83.08,34,1,1.0
2,79.38,33,1,1.0
2,78.64,31,1,1.0
8,71.29,60,3,1.8928571428571428
3,75.36,41,1,1.0
2,54.31,35,1,1.0
2,83.21,31,1,1.0
2,79.81,44,1,1.0
2,82.91,43,1,1.0
2,60.09,32,1,1.0
3,60.52,42,1,1.0
3,86.26,42,1,1.0
2,84.03,31,1,1.0
2,83.49,31,1,1.0
5,61.06,54,2,1.4
3,78.36,37,1,1.0
3,83.25,39,1,1.0
2,86.2,41,1,1.0
2,75.89,33,1,1.0
2,80.6,43,1,1.0
2,80.13,32,1,1.0
2,82.36,32,1,1.0
3,83.07,40,1,1.0
2,79.79,30,1,1.0
3,80.91,39,1,1.0
3,82.52,43,2,1.3333333333333333
2,77.81,33,1,1.0
3,83.81,46,1,1.0
3,84.78,42,1,1.0
2,78.64,30,1,1.0
2,86.49,42,1,1.0
3,80.03,35,1,1.0
3,86.63,39,1,1.0
5,78.8,60,2,1.5
3,78.78,33,1,1.0
2,73.66,40,1,1.0
6,72.25,45,2,1.4666666666666666
7,61.71,56,3,1.7142857142857142
7,83.63,47,2,1.4761904761904763
2,83.61,35,1,1.0
2,60.52,28,1,1.0
2,79.37,34,1,1.0
7,54.43,59,3,1.8571428571428572
3,62.97,38,1,1.0
8,76.52,64,3,1.7857142857142858
2,69.08,27,1,1.0
8,78.5,57,3,1.7142857142857142
2,83.7,42,1,1.0
2,82.24,34,1,1.0
2,84.78,44,1,1.0
2,83.97,31,1,1.0
3,69.49,37,1,1.0
2,81.07,37,1,1.0
2,79.38,27,1,1.0
2,80.34,33,1,1.0
2,79.42,35,1,1.0
2,84.18,31,1,1.0
2,81.83,39,1,1.0
3,62.38,32,2,1.3333333333333333
2,79.39,30,1,1.0
2,60.49,34,1,1.0
3,82.61,41,2,1.3333333333333333
2,60.49,33,1,1.0
2,79.39,28,1,1.0
2,81.46,29,1,1.0
2,61.99,33,1,1.0
2,60.96,31,1,1.0
2,86.11,40,1,1.0
2,79.47,31,1,1.0
2,84.91,42,1,1.0
2,83.46,29,1,1.0
2,76.83,44,1,1.0
2,83.55,28,1,1.0
2,78.78,29,1,1.0
3,79.87,41,1,1.0
2,80.13,31,1,1.0
2,79.52,35,1,1.0
2,87.12,35,1,1.0
2,50.6,43,1,1.0
3,85.33,41,1,1.0
3,69.77,38,1,1.0
2,56.18,33,1,1.0
2,54.72,31,1,1.0
2,83.76,42,1,1.0
2,88.26,41,1,1.0
2,87.54,29,1,1.0
7,54.43,45,3,1.6666666666666667
3,85.34,40,1,1.0
2,78.04,33,1,1.0
3,79.56,40,1,1.0
4,79.53,59,2,1.3333333333333333
2,85.17,35,1,1.0
3,85.32,51,1,1.0
2,75.4,30,1,1.0
2,85.05,44,1,1.0
4,83.58,54,2,1.3333333333333333
2,85.33,42,1,1.0
2,85.91,43,1,1.0
2,84.16,31,1,1.0
2,85.27,42,1,1.0
2,85.45,31,1,1.0
2,78.4,24,1,1.0
2,61.99,38,1,1.0
2,69.21,44,1,1.0
3,61.36,38,1,1.0
2,83.99,33,1,1.0
3,78.78,36,1,1.0
3,69.53,43,2,1.3333333333333333
2,85.73,35,1,1.0
2,74.08,41,1,1.0
2,84.91,43,1,1.0
9,83.17,69,3,1.6944444444444444
2,61.51,33,1,1.0
3,78.83,39,1,1.0
2,80.95,43,1,1.0
2,78.72,32,1,1.0
2,83.55,44,1,1.0
2,60.78,27,1,1.0
2,83.55,33,1,1.0
3,84.48,44,1,1.0
2,75.37,32,1,1.0
2,84.67,31,1,1.0
2,86.5,44,1,1.0
2,75.63,39,1,1.0
2,83.3,34,1,1.0
2,64.5,42,1,1.0
2,84.13,27,1,1.0
2,84.58,42,1,1.0
2,79.8,31,1,1.0
2,79.9,42,1,1.0
2,86.24,39,1,1.0
2,77.93,33,1,1.0
2,83.82,43,1,1.0
2,85.34,44,1,1.0
3,84.03,40,1,1.0
3,83.68,35,1,1.0
2,77.64,31,1,1.0
3,78.74,38,1,1.0
2,75.72,29,1,1.0
2,84.39,43,1,1.0
3,61.8,39,1,1.0
2,83.07,33,1,1.0
2,73.44,34,1,1.0
3,86.42,37,1,1.0
2,68.31,34,1,1.0
2,79.91,40,1,1.0
2,84.01,34,1,1.0
2,77.93,29,1,1.0
2,74.32,42,1,1.0
2,84.41,44,1,1.0
2,79.49,43,1,1.0
2,72.14,44,1,1.0
2,69.87,43,1,1.0
2,81.97,31,1,1.0
2,83.75,34,1,1.0
3,83.49,38,1,1.0
3,81.92,41,1,1.0
6,80.21,57,2,1.5333333333333334
4,79.85,43,2,1.3333333333333333
2,54.34,30,1,1.0
2,83.69,44,1,1.0
3,83.48,41,1,1.0
2,79.12,24,1,1.0
2,82.37,36,1,1.0
3,80.14,38,1,1.0
2,75.23,42,1,1.0
2,81.89,33,1,1.0
2,69.93,29,1,1.0
2,78.8,34,1,1.0
3,85.23,39,1,1.0
2,82.28,43,1,1.0
8,82.37,71,3,1.75
3,72.18,38,1,1.0
2,78.8,34,1,1.0
3,80.47,35,1,1.0
3,78.71,36,1,1.0
2,69.45,36,1,1.0
2,79.09,30,1,1.0
3,78.04,38,1,1.0
2,83.17,36,1,1.0
2,54.11,35,1,1.0
4,82.37,44,2,1.3333333333333333
2,84.04,33,1,1.0
2,85.81,31,1,1.0
2,84.58,43,1,1.0
2,84.02,43,1,1.0
2,83.25,36,1,1.0
2,53.4,29,1,1.0
3,81.45,49,2,1.3333333333333333
3,78.32,42,1,1.0
2,79.47,35,1,1.0
2,67.71,33,1,1.0
9,80.0,60,3,1.8888888888888888
3,80.98,36,1,1.0
3,84.34,40,2,1.3333333333333333
3,57.49,41,1,1.0
2,78.8,34,1,1.0
2,83.26,33,1,1.0
2,61.06,30,1,1.0
2,83.93,44,1,1.0
2,69.33,29,1,1.0
4,85.24,41,2,1.3333333333333333
3,79.86,39,2,1.3333333333333333
3,78.03,43,1,1.0
3,85.64,40,1,1.0
3,61.13,44,1,1.0
6,64.36,56,2,1.4666666666666666
2,86.93,41,1,1.0
4,61.71,44,2,1.5
3,75.52,42,1,1.0
5,84.61,55,2,1.5
2,79.65,27,1,1.0
3,78.28,41,1,1.0
3,78.04,45,1,1.0
3,84.78,43,1,1.0
2,51.03,33,1,1.0
3,80.96,42,1,1.0
2,79.52,32,1,1.0
3,73.32,40,1,1.0
3,78.23,44,1,1.0
5,83.97,50,2,1.4
2,84.85,43,1,1.0
2,82.16,37,1,1.0
2,83.81,37,1,1.0
2,75.88,44,1,1.0
2,83.85,32,1,1.0
2,83.99,31,1,1.0
3,81.74,42,1,1.0
2,75.02,32,1,1.0
5,85.62,62,4,2.0
2,87.25,43,1,1.0
2,79.06,28,1,1.0
2,85.24,33,1,1.0
3,79.58,37,1,1.0
2,60.59,31,1,1.0
2,87.11,37,1,1.0
2,75.29,36,1,1.0
2,88.28,32,1,1.0
3,68.18,41,1,1.0
2,87.75,39,1,1.0
2,82.09,41,1,1.0
2,87.69,31,1,1.0
9,61.06,85,3,1.7777777777777777
2,85.81,43,1,1.0
3,78.72,39,1,1.0
2,82.57,33,1,1.0
2,86.78,41,1,1.0
3,78.83,40,1,1.0
2,85.68,34,1,1.0
3,87.37,41,1,1.0
2,87.85,33,1,1.0
2,86.97,44,1,1.0
3,79.52,42,1,1.0
2,54.28,29,1,1.0
2,78.81,34,1,1.0
2,82.41,43,1,1.0
2,83.03,35,1,1.0
2,73.04,43,1,1.0
3,83.19,45,2,1.3333333333333333
2,85.18,44,1,1.0
2,60.71,31,1,1.0
2,83.07,44,1,1.0
2,85.24,44,1,1.0
2,84.69,33,1,1.0
4,63.13,48,2,1.5
2,60.49,31,1,1.0
3,82.25,60,2,1.3333333333333333
2,82.36,33,1,1.0
2,53.4,31,1,1.0
2,87.95,43,1,1.0
2,84.13,44,1,1.0
2,85.41,43,1,1.0
2,62.28,42,1,1.0
2,54.28,30,1,1.0
2,62.9,32,1,1.0
8,84.34,59,3,1.7857142857142858
3,60.49,28,1,1.0
2,76.16,31,1,1.0
2,83.5,35,1,1.0
2,67.16,35,1,1.0
2,83.69,33,1,1.0
3,78.36,38,1,1.0
3,79.45,48,2,1.3333333333333333
3,76.09,48,2,1.3333333333333333
2,60.78,32,1,1.0
2,83.45,31,1,1.0
3,51.66,37,1,1.0
2,83.75,29,1,1.0
2,84.72,39,1,1.0
2,68.68,43,1,1.0
2,82.37,35,1,1.0
2,83.35,31,1,1.0
2,83.11,31,1,1.0
2,55.18,36,1,1.0
2,78.87,34,1,1.0
3,85.47,57,2,1.3333333333333333
2,78.83,42,1,1.0
2,71.69,43,1,1.0
2,71.57,33,1,1.0
2,54.34,31,1,1.0
3,83.9,56,2,1.3333333333333333
3,83.68,33,1,1.0
2,84.45,32,1,1.0
3,79.09,36,2,1.3333333333333333
2,86.0,30,1,1.0
2,80.71,42,1,1.0
2,81.77,43,1,1.0
2,84.34,43,1,1.0
2,78.55,28,1,1.0
5,84.52,63,4,2.0
4,60.82,50,2,1.5
2,77.01,32,1,1.0
2,76.23,36,1,1.0
2,88.22,28,1,1.0
2,70.28,33,1,1.0
2,60.52,33,1,1.0
2,84.59,44,1,1.0
2,86.54,42,1,1.0
2,85.3,34,1,1.0
3,85.24,38,1,1.0
2,78.78,33,1,1.0
2,86.26,30,1,1.0
3,82.24,40,1,1.0
2,85.81,32,1,1.0
3,60.16,40,1,1.0
2,80.12,42,1,1.0
3,83.11,36,2,1.3333333333333333
3,84.96,42,1,1.0
2,80.14,31,1,1.0
2,69.61,44,1,1.0
2,69.93,32,1,1.0
2,70.35,44,1,1.0
2,78.69,33,1,1.0
3,78.19,37,1,1.0
2,76.09,43,1,1.0
2,84.37,33,1,1.0
2,79.39,35,1,1.0
2,84.72,30,1,1.0
2,83.08,32,1,1.0
2,54.72,30,1,1.0
2,60.82,33,1,1.0
3,83.66,40,1,1.0
2,85.99,33,1,1.0
2,79.85,26,1,1.0
2,78.81,33,1,1.0
2,79.58,29,1,1.0
2,84.65,32,1,1.0
2,83.32,33,1,1.0
2,85.47,40,1,1.0
2,82.75,43,1,1.0
3,78.23,43,1,1.0
2,79.26,33,1,1.0
2,78.83,32,1,1.0
2,79.38,26,1,1.0
2,79.14,39,1,1.0
3,78.97,35,1,1.0
2,74.36,40,1,1.0
2,71.87,44,1,1.0
2,86.28,43,1,1.0
2,88.14,43,1,1.0
2,83.25,33,1,1.0
6,78.8,66,2,1.6
2,85.83,33,1,1.0
4,85.17,43,2,1.3333333333333333
2,86.67,43,1,1.0
2,86.22,36,1,1.0
2,61.06,31,1,1.0
2,86.54,34,1,1.0
2,76.49,34,1,1.0
2,85.84,34,1,1.0
2,85.64,35,1,1.0
2,82.86,35,1,1.0
2,78.22,34,1,1.0
2,85.01,32,1,1.0
2,61.06,37,1,1.0
2,79.04,33,1,1.0
2,79.67,31,1,1.0
2,71.23,33,1,1.0
2,88.33,41,1,1.0
2,77.78,43,1,1.0
2,79.95,39,1,1.0
